name,release_date,price_myr,tags,genres,peak_ccu,user_reviews_total,popularity,reviews
The Witcher 3: Wild Hunt,2015-05-18,RM44.96,"'Open World', 'RPG', 'Story Rich', 'Atmospheric', 'Mature', 'Fantasy', 'Adventure', 'Singleplayer', 'Nudity', 'Choices Matter', 'Great Soundtrack', 'Third Person', 'Medieval', 'Action', 'Multiple Endings', 'Action RPG', 'Magic', 'Dark Fantasy', 'Dark', 'Sandbox'",'RPG',13475,707825,Highly Popular,Many Reviews
Cyberpunk 2077,2020-12-09,RM134.95,"'Cyberpunk', 'Open World', 'Nudity', 'RPG', 'Singleplayer', 'Sci-fi', 'Futuristic', 'FPS', 'Mature', 'Story Rich', 'First-Person', 'Atmospheric', 'Exploration', 'Action', 'Violent', 'Great Soundtrack', 'Action RPG', 'Adventure', 'Character Customization', 'Immersive Sim'",'RPG',35065,655887,Highly Popular,Many Reviews
Left 4 Dead 2,2009-11-16,RM44.96,"'Zombies', 'Co-op', 'FPS', 'Multiplayer', 'Shooter', 'Online Co-Op', 'Action', 'Survival', 'Horror', 'First-Person', 'Gore', 'Team-Based', 'Moddable', 'Survival Horror', 'Post-apocalyptic', 'Singleplayer', 'Adventure', 'Local Co-Op', 'Replay Value', 'Tactical'",'Action',22505,643775,Highly Popular,Many Reviews
HELLDIVERS 2,2024-02-08,RM179.96,"'Online Co-Op', 'Third-Person Shooter', 'Multiplayer', 'Action', 'PvE', 'Shooter', 'Co-op', 'Sci-fi', 'Capitalism', 'Space', 'Third Person', 'Extraction Shooter', 'Comedy', 'Gore', 'Violent', 'Great Soundtrack', 'Difficult', 'Psychological Horror', 'Singleplayer', 'Open World'",'Action',46813,641080,Highly Popular,Many Reviews
ELDEN RING,2022-02-24,RM269.96,"'Souls-like', 'Dark Fantasy', 'Open World', 'RPG', 'Difficult', 'Action RPG', 'Third Person', 'Multiplayer', 'Fantasy', 'Singleplayer', 'Online Co-Op', 'Action', 'Co-op', 'PvP', 'Atmospheric', 'Great Soundtrack', 'Violent', 'D 3', 'Character Customization', 'Family Friendly'", 'RPG' 'Action',53910,607405,Highly Popular,Many Reviews
Stardew Valley,2016-02-26,RM67.46,"'Farming Sim', 'Pixel Graphics', 'Life Sim', 'Multiplayer', 'RPG', 'Relaxing', 'Agriculture', 'Simulation', 'Crafting', 'Sandbox', 'Indie', 'Building', 'Singleplayer', 'Casual', 'Open World', 'D 2', 'Cute', 'Dating Sim', 'Great Soundtrack', 'Fishing'", 'RPG'  'Simulation' 'Indie',91798,602714,Highly Popular,Many Reviews
Among Us,2018-11-16,RM22.46,"'Multiplayer', 'Online Co-Op', 'Social Deduction', 'Space', 'Survival', 'D 2', 'Funny', 'Psychological', 'Co-op', 'Party Game', 'Cartoony', 'Local Multiplayer', 'Casual', 'Action', 'Sci-fi', 'PvP', 'Aliens', 'Colorful', 'Minigames', 'Top-Down'",'Casual',7283,600836,Highly Popular,Many Reviews
Destiny 2,2019-10-01,Free,"'Free to Play', 'Open World', 'FPS', 'Looter Shooter', 'MMORPG', 'Co-op', 'Multiplayer', 'PvE', 'PvP', 'Shooter', 'Massively Multiplayer', 'Loot', 'First-Person', 'Sci-fi', 'Action', 'Lore-Rich', 'Adventure', 'Space', 'Competitive', 'Atmospheric'", 'Adventure'  'Free to Play' 'Action',85768,595362,Highly Popular,Many Reviews
Warframe,2013-03-25,Free,"'Free to Play', 'Action RPG', 'Looter Shooter', 'Third-Person Shooter', 'Action', 'RPG', 'Third Person', 'Character Customization', 'Massively Multiplayer', 'Online Co-Op', 'Co-op', 'Singleplayer', 'PvE', 'Sci-fi', 'Space', 'Shooter', 'Lore-Rich', 'Hack and Slash', 'Parkour', 'Ninja'", 'Free to Play'  'RPG' 'Action',50173,576793,Highly Popular,Many Reviews
Euro Truck Simulator 2,2012-10-12,RM22.46,"'Driving', 'Transportation', 'Simulation', 'Open World', 'Automobile Sim', 'Realistic', 'Moddable', 'Relaxing', 'Exploration', 'Immersive Sim', 'Economy', 'Management', 'Atmospheric', 'Multiplayer', 'Controller', 'Family Friendly', 'Third Person', 'Adventure', 'Casual', 'Indie'", 'Simulation' 'Indie',41788,567017,Highly Popular,Many Reviews
Phasmophobia,2020-09-18,RM62.96,"'Horror', 'Online Co-Op', 'Multiplayer', 'Psychological Horror', 'Co-op', 'VR', 'Supernatural', 'First-Person', 'Investigation', 'Dark', 'Demons', 'Detective', 'Mystery', 'D 3', 'Early Access', 'Thriller', 'Indie', 'Action', 'Tactical', 'Singleplayer'", 'Early Access'  'Indie' 'Action',11055,551355,Highly Popular,Many Reviews
Baldur's Gate 3,2023-08-03,RM229.46,"'RPG', 'Choices Matter', 'Character Customization', 'Story Rich', 'Turn-Based Combat', 'Dungeons & Dragons', 'Adventure', 'CRPG', 'Fantasy', 'Online Co-Op', 'Romance', 'Multiplayer', 'Strategy', 'Singleplayer', 'Co-op Campaign', 'Sexual Content', 'Class-Based', 'Dark Fantasy', 'Combat', 'Controller'", 'RPG'  'Strategy' 'Adventure',64729,544556,Highly Popular,Many Reviews
Unturned,2017-07-07,Free,"'Free to Play', 'Survival', 'Zombies', 'Multiplayer', 'Open World', 'Co-op', 'Crafting', 'Sandbox', 'Shooter', 'Adventure', 'Post-apocalyptic', 'First-Person', 'Singleplayer', 'FPS', 'Looter Shooter', 'Action', 'Massively Multiplayer', 'Indie', 'Atmospheric', 'Casual'", 'Adventure'  'Casual'  'Free to Play'  'Indie' 'Action',57642,539558,Highly Popular,Many Reviews
Red Dead Redemption 2,2019-12-05,RM269.96,"'Open World', 'Story Rich', 'Western', 'Adventure', 'Multiplayer', 'Action', 'Realistic', 'Singleplayer', 'Shooter', 'Atmospheric', 'Horses', 'Beautiful', 'Mature', 'Third-Person Shooter', 'Great Soundtrack', 'Third Person', 'Gore', 'Sandbox', 'First-Person', 'FPS'", 'Adventure' 'Action',28738,528790,Highly Popular,Many Reviews
Dead by Daylight,2016-06-14,RM89.96,"'Horror', 'Survival Horror', 'Multiplayer', 'Online Co-Op', 'Co-op', 'Survival', 'Gore', 'Team-Based', 'Blood', 'Stealth', 'Third Person', 'Violent', 'First-Person', 'Psychological Horror', 'Action', 'Atmospheric', 'Strategy', 'Comedy', 'Mature', 'Difficult'",'Action',47892,523453,Highly Popular,Many Reviews
ARK: Survival Evolved,2017-08-27,RM67.46,"'Open World Survival Craft', 'Survival', 'Multiplayer', 'Open World', 'Dinosaurs', 'Crafting', 'Building', 'Adventure', 'Base-Building', 'Co-op', 'Action', 'First-Person', 'Sandbox', 'Massively Multiplayer', 'Singleplayer', 'Early Access', 'RPG', 'Dragons', 'Sci-fi', 'Indie'", 'Adventure'  'Indie'  'Massively Multiplayer'  'RPG' 'Action',22790,518920,Highly Popular,Many Reviews
War Thunder,2013-08-15,Free,"'Free to Play', 'Vehicular Combat', 'Combat', 'World War II', 'VR', 'Flight', 'War', 'Military', 'Tanks', 'Naval Combat', 'Simulation', 'Modern', 'Cold War', 'Massively Multiplayer', 'Action', 'Realistic', 'Multiplayer', 'Shooter', 'Third-Person Shooter', 'Third Person'", 'Free to Play'  'Massively Multiplayer'  'Simulation' 'Action',68052,492048,Highly Popular,Many Reviews
Fall Guys,2020-08-03,Free,"'Multiplayer', 'Party Game', 'Family Friendly', 'Battle Royale', 'Massively Multiplayer', 'Platformer', 'Cute', 'Funny', 'PvP', 'D Platformer 3', 'Controller', 'Casual', 'Colorful', 'Action', 'Online Co-Op', 'Co-op', 'Comedy', 'Physics', 'Indie', 'Difficult'", 'Casual'  'Indie'  'Massively Multiplayer'  'Sports' 'Action',1379,476804,Highly Popular,Many Reviews
The Forest,2018-04-30,RM89.96,"'Open World Survival Craft', 'Survival', 'Open World', 'Horror', 'Crafting', 'Adventure', 'Building', 'Survival Horror', 'First-Person', 'Action', 'Exploration', 'Sandbox', 'Singleplayer', 'Atmospheric', 'Simulation', 'Gore', 'Realistic', 'Indie', 'Zombies', 'Early Access'", 'Adventure'  'Indie'  'Simulation' 'Action',3458,458301,Highly Popular,Many Reviews
PAYDAY 2,2013-08-13,RM44.96,"'Co-op', 'Action', 'FPS', 'Heist', 'Multiplayer', 'Looter Shooter', 'Online Co-Op', 'Stealth', 'Crime', 'Shooter', 'Team-Based', 'First-Person', 'Great Soundtrack', 'Gun Customization', 'Tactical', 'PvE', 'Strategy', 'Singleplayer', 'Funny', 'Simulation'", 'RPG' 'Action',28613,427390,Highly Popular,Many Reviews
Rocket League,2015-07-06,Free,"'Multiplayer', 'Football (Soccer)', 'Competitive', 'Sports', 'Racing', 'Team-Based', 'Online Co-Op', 'Football (American)', 'Fast-Paced', 'Co-op', 'Action', 'Funny', 'Great Soundtrack', 'Local Multiplayer', 'Split Screen', 'Local Co-Op', 'Singleplayer', 'Player Local 4', 'Casual', 'Indie'", 'Indie'  'Racing'  'Sports' 'Action',16912,426680,Highly Popular,Many Reviews
Valheim,2021-02-02,RM44.96,"'Open World Survival Craft', 'Survival', 'Online Co-Op', 'Open World', 'Multiplayer', 'Building', 'Crafting', 'Exploration', 'Base-Building', 'Co-op', 'Sandbox', 'Adventure', 'Mythology', 'RPG', 'Early Access', 'Action', 'PvE', 'Indie', 'Singleplayer', 'Third Person'", 'Adventure'  'Early Access'  'Indie'  'RPG' 'Action',62358,387502,Highly Popular,Many Reviews
Brawlhalla,2017-10-17,Free,"'Free to Play', 'Multiplayer', 'Fighting', 'D Fighter 2', 'D Platformer 2', 'Casual', 'Local Multiplayer', 'Co-op', 'Controller', 'Action', 'Platformer', 'Fantasy', 'Online Co-Op', 'Local Co-Op', 'Player Local 4', 'Family Friendly', 'Cartoony', 'e-sports', 'Singleplayer', 'Indie'", 'Free to Play'  'Indie' 'Action',12436,363985,Highly Popular,Many Reviews
Paladins,2018-05-08,Free,"'Hero Shooter', 'Free to Play', 'Multiplayer', 'FPS', 'Shooter', 'Action', 'Team-Based', 'First-Person', 'PvP', 'MOBA', 'Online Co-Op', 'Fantasy', 'Controller', 'Strategy', 'Co-op', 'Character Customization', 'Massively Multiplayer', 'Adventure', 'Colorful', 'Funny'", 'Adventure'  'Free to Play'  'Massively Multiplayer'  'Strategy' 'Action',5409,344271,Highly Popular,Many Reviews
Geometry Dash,2014-12-22,RM22.46,"'Difficult', 'Music', 'Level Editor', 'Great Soundtrack', 'Precision Platformer', 'Rhythm', 'D 2', 'Singleplayer', 'Colorful', 'Platformer', 'Character Customization', 'Indie', 'Arcade', 'Side Scroller', 'Family Friendly', 'Funny', 'Action', 'Casual', 'Strategy', 'Adventure'", 'Indie' 'Action',14007,324876,Highly Popular,Many Reviews
Portal 2,2011-04-18,RM44.96,"'Platformer', 'Puzzle', 'First-Person', 'Dark Humor', 'Story Rich', 'Puzzle-Platformer', 'Funny', 'Female Protagonist', 'D Platformer 3', 'Action-Adventure', 'Action', 'FPS', 'Co-op', 'Physics', 'Sci-fi', 'Level Editor', 'Science', 'Comedy', 'Atmospheric', 'Adventure'", 'Adventure' 'Action',2088,324314,Highly Popular,Many Reviews
DayZ,2018-12-13,RM121.46,"'Survival', 'Online Co-Op', 'Open World', 'Multiplayer', 'Action', 'PvP', 'Shooter', 'Massively Multiplayer', 'Horror', 'Post-apocalyptic', 'Simulation', 'FPS', 'First-Person', 'Survival Horror', 'Sandbox', 'Choose Your Own Adventure', 'Adventure', 'Co-op', 'Atmospheric', 'Indie'", 'Adventure'  'Massively Multiplayer' 'Action',35911,324196,Highly Popular,Many Reviews
Lethal Company,2023-10-23,RM44.96,"'Online Co-Op', 'Horror', 'First-Person', 'Co-op', 'Survival Horror', 'Exploration', 'Psychological Horror', 'Sci-fi', 'Funny', 'PvE', 'Atmospheric', 'Procedural Generation', 'Aliens', 'Time Management', 'Adventure', 'Dungeon Crawler', 'Action', 'Early Access', 'Action-Adventure', 'Perma Death'", 'Adventure'  'Early Access'  'Indie' 'Action',21698,320797,Highly Popular,Many Reviews
Call of Duty,2022-10-27,Free,"'FPS', 'Multiplayer', 'Shooter', 'Action', 'Singleplayer', 'Military', 'First-Person', 'War', 'Modern', 'Tactical', 'Violent', 'Co-op', 'Realistic', 'Story Rich', 'Atmospheric', 'Mature', 'Online Co-Op', 'Gore', 'Third-Person Shooter', 'Third Person'",'Action',70357,315403,Highly Popular,Many Reviews
Hollow Knight,2017-02-24,RM67.46,"'Metroidvania', 'Souls-like', 'Platformer', 'Great Soundtrack', 'Difficult', 'D 2', 'Indie', 'Singleplayer', 'Atmospheric', 'Exploration', 'Adventure', 'Story Rich', 'Hand-drawn', 'Action', 'Multiple Endings', 'Dark Fantasy', 'Open World', 'Cute', 'Controller', 'Side Scroller'", 'Adventure'  'Indie' 'Action',5727,311712,Highly Popular,Many Reviews
Don't Starve Together,2016-04-21,RM67.46,"'Survival', 'Open World Survival Craft', 'Multiplayer', 'Co-op', 'Open World', 'Adventure', 'Crafting', 'Online Co-Op', 'Sandbox', 'Difficult', 'Indie', 'D 2', 'Atmospheric', 'Funny', 'Survival Horror', 'Strategy', 'Horror', 'Singleplayer', 'Action', 'Rogue-like'", 'Adventure'  'Indie'  'RPG'  'Simulation'  'Strategy' 'Action',45320,308029,Highly Popular,Many Reviews
Dying Light,2021-07-15,RM13.46,"'Zombies', 'Survival Horror', 'Horror', 'Online Co-Op', 'Open World', 'Parkour', 'First-Person', 'Survival', 'Open World Survival Craft', 'Gore', 'FPS', 'Action', 'PvE', 'Stealth', 'PvP', 'Post-apocalyptic', 'Story Rich', 'Multiplayer', 'Hack and Slash', 'Action RPG'", 'RPG' 'Action',27222,304418,Highly Popular,Many Reviews
Sea of Thieves: 2024 Edition,2020-06-03,RM179.96,"'Multiplayer', 'Adventure', 'Open World', 'Pirates', 'Co-op', 'Online Co-Op', 'Action', 'PvP', 'Sailing', 'First-Person', 'Exploration', 'Naval', 'Funny', 'PvE', 'Massively Multiplayer', 'FPS', 'Atmospheric', 'Swordplay', 'Great Soundtrack', 'Singleplayer'", 'Adventure' 'Action',13562,282887,Highly Popular,Many Reviews
Bloons TD 6,2018-12-17,RM22.00,"'Tower Defense', 'Strategy', 'Multiplayer', 'Singleplayer', 'Online Co-Op', 'Co-op', 'Family Friendly', 'Casual', 'D 3', 'Cartoony', 'Sandbox', 'Great Soundtrack', 'Difficult', 'Funny', 'Cute', 'Survival', 'Action', 'Indie', 'D 2', 'Adventure'",'Strategy',16499,272754,Highly Popular,Many Reviews
Overwatch 2,2023-08-10,Free,, 'Free to Play' 'Action',0,268535,Low Popularity,Many Reviews
Raft,2022-06-20,RM89.96,"'Survival', 'Multiplayer', 'Open World Survival Craft', 'Co-op', 'Crafting', 'Open World', 'Building', 'Base-Building', 'Online Co-Op', 'Adventure', 'Sandbox', 'First-Person', 'Singleplayer', 'Underwater', 'Early Access', 'Simulation', 'Action', 'Indie', 'Strategy', 'Massively Multiplayer'", 'Indie'  'Simulation' 'Adventure',8909,266171,Highly Popular,Many Reviews
Monster Hunter: World,2018-08-08,RM134.95,"'Co-op', 'Multiplayer', 'Action', 'Open World', 'RPG', 'Third Person', 'Character Customization', 'Adventure', 'Fantasy', 'Difficult', 'Action RPG', 'Singleplayer', 'Exploration', 'Great Soundtrack', 'Replay Value', 'Atmospheric', 'Hack and Slash', 'JRPG', 'Souls-like', 'MMORPG'",'Action',46475,263955,Highly Popular,Many Reviews
The Binding of Isaac: Rebirth,2014-11-04,RM67.46,"'Action Roguelike', 'Rogue-like', 'Indie', 'Replay Value', 'Difficult', 'Pixel Graphics', 'Dungeon Crawler', 'Great Soundtrack', 'Singleplayer', 'Dark', 'D 2', 'Remake', 'Local Co-Op', 'Gore', 'Procedural Generation', 'Rogue-lite', 'Atmospheric', 'Action', 'Co-op', 'Horror'",'Action',15173,259222,Highly Popular,Many Reviews
Palworld,2024-01-18,RM134.95,"'Multiplayer', 'Open World', 'Creature Collector', 'Survival', 'Open World Survival Craft', 'Crafting', 'Co-op', 'Adventure', 'Sandbox', 'Third-Person Shooter', 'Automation', 'Action', 'Early Access', 'RPG', 'Anime', 'PvE', 'D 3', 'Indie', 'Looter Shooter', 'Hack and Slash'", 'Adventure'  'Early Access'  'Indie'  'RPG' 'Action',19075,258827,Highly Popular,Many Reviews
DARK SOULS III,2016-04-11,RM269.96,"'Souls-like', 'Dark Fantasy', 'Difficult', 'RPG', 'Atmospheric', 'Lore-Rich', 'Third Person', 'Exploration', 'Story Rich', 'Action RPG', 'Co-op', 'Great Soundtrack', 'Adventure', 'Action', 'Multiplayer', 'PvP', 'Open World', 'Singleplayer', 'Character Customization', 'Replay Value'",'Action',9035,244311,Highly Popular,Many Reviews
Subnautica,2018-01-23,RM134.95,"'Open World Survival Craft', 'Survival', 'Horror', 'Open World', 'Exploration', 'Underwater', 'Crafting', 'Base-Building', 'Singleplayer', 'Adventure', 'First-Person', 'Sci-fi', 'Sandbox', 'Atmospheric', 'Aliens', 'Survival Horror', 'Multiplayer', 'Action', 'Indie', 'VR'", 'Indie' 'Adventure',4268,244286,Highly Popular,Many Reviews
Fallout 4,2015-11-09,RM89.96,"'Open World', 'Post-apocalyptic', 'Singleplayer', 'Exploration', 'RPG', 'Adventure', 'Atmospheric', 'Shooter', 'First-Person', 'Story Rich', 'Action', 'Sci-fi', 'FPS', 'Action RPG', 'Sandbox', 'Great Soundtrack', 'Third Person', 'Survival', 'Third-Person Shooter', 'Character Customization'",'RPG',82089,240413,Highly Popular,Many Reviews
Hades,2020-09-17,RM112.46,"'Action Roguelike', 'Rogue-lite', 'Hack and Slash', 'Indie', 'Mythology', 'Action', 'Rogue-like', 'Great Soundtrack', 'Singleplayer', 'RPG', 'Story Rich', 'Dungeon Crawler', 'Replay Value', 'Isometric', 'Difficult', 'Action RPG', 'Hand-drawn', 'Atmospheric', 'Perma Death', 'Souls-like'", 'Indie'  'RPG' 'Action',18611,239366,Highly Popular,Many Reviews
New World,2021-09-28,RM179.96,"'Open World', 'Massively Multiplayer', 'MMORPG', 'RPG', 'Adventure', 'Action', 'PvP', 'PvE', 'Multiplayer', 'Fantasy', 'Character Customization', 'Walking Simulator', 'Crafting', 'Third Person', 'Co-op', 'Open World Survival Craft', 'Sandbox', 'Violent', 'Sexual Content', 'Singleplayer'", 'Adventure'  'Massively Multiplayer'  'RPG' 'Action',7399,234960,Highly Popular,Many Reviews
Deep Rock Galactic,2020-05-13,RM134.95,"'Dwarf', 'Co-op', 'PvE', 'FPS', 'Procedural Generation', 'Class-Based', 'Shooter', 'Exploration', 'First-Person', 'Loot', 'Sci-fi', 'Space', 'Action', 'Atmospheric', 'Looter Shooter', 'Combat', 'Survival', 'Horror', 'Dark', 'Action Roguelike'",'Action',9693,231358,Highly Popular,Many Reviews
People Playground,2019-07-23,RM44.96,"'Sandbox', 'Gore', 'Physics', 'Blood', 'Moddable', 'Violent', 'D 2', 'Singleplayer', 'Destruction', 'Simulation', 'Funny', 'Building', 'Pixel Graphics', 'Psychological Horror', 'Indie', 'Action', 'Casual', 'Horror', 'Comedy', 'Choose Your Own Adventure'", 'Casual'  'Indie'  'Simulation' 'Action',5873,229900,Highly Popular,Many Reviews
BeamNG.drive,2015-05-29,RM112.46,"'Simulation', 'Driving', 'Physics', 'Destruction', 'Realistic', 'Automobile Sim', 'Open World', 'Sandbox', 'Racing', 'Moddable', 'Multiplayer', 'Singleplayer', 'Early Access', 'First-Person', 'Third Person', 'Exploration', 'Funny', 'Action', 'Adventure', 'Flight'", 'Early Access'  'Simulation' 'Racing',15453,229602,Highly Popular,Many Reviews
No Man's Sky,2016-08-12,RM269.96,"'Open World', 'Open World Survival Craft', 'Space', 'Exploration', 'Sci-fi', 'Survival', 'Procedural Generation', 'Adventure', 'First-Person', 'Sandbox', 'Singleplayer', 'Multiplayer', 'Atmospheric', 'Crafting', 'Space Sim', 'Indie', 'Action', 'Simulation', 'FPS', 'VR'", 'Adventure' 'Action',4561,227128,Highly Popular,Many Reviews
Project Zomboid,2013-11-08,RM89.96,"'Survival', 'Zombies', 'Open World', 'Open World Survival Craft', 'Multiplayer', 'Sandbox', 'Post-apocalyptic', 'Co-op', 'Crafting', 'Indie', 'Building', 'Simulation', 'RPG', 'Survival Horror', 'Realistic', 'Isometric', 'Singleplayer', 'D 2', 'Adventure', 'Early Access'", 'Early Access'  'RPG'  'Simulation' 'Indie',27148,224838,Highly Popular,Many Reviews
NARAKA: BLADEPOINT,2021-08-11,Free,"'Battle Royale', 'Multiplayer', 'Martial Arts', 'PvP', 'Action', 'Female Protagonist', 'Fighting', 'Character Customization', 'Massively Multiplayer', 'Survival', 'Third Person', 'Swordplay', 'Hack and Slash', 'Anime', 'Parkour', 'Adventure', 'Mature', 'Free to Play', 'Violent', 'Gore'", 'Adventure'  'Massively Multiplayer' 'Action',269356,224410,Highly Popular,Many Reviews
Sid Meier’s Civilization VI,2016-10-20,RM269.96,"'Strategy', 'Turn-Based Strategy', 'Multiplayer', 'Historical', 'Singleplayer', 'Grand Strategy', 'Turn-Based', 'X 4', 'War', 'Simulation', 'City Builder', 'Tactical', 'Building', 'Management', 'Great Soundtrack', 'Moddable', 'Online Co-Op', 'Co-op', 'Hex Grid', 'Atmospheric'",'Strategy',49530,223970,Highly Popular,Many Reviews
Path of Exile,2013-10-23,Free,"'Free to Play', 'Dark Fantasy', 'Action RPG', 'Hack and Slash', 'Loot', 'MMORPG', 'Multiplayer', 'Dungeon Crawler', 'Character Customization', 'Isometric', 'Inventory Management', 'RPG', 'Online Co-Op', 'Singleplayer', 'Action', 'PvP', 'Horror', 'Massively Multiplayer', 'Fantasy', 'Adventure'", 'Adventure'  'Free to Play'  'Indie'  'Massively Multiplayer'  'RPG' 'Action',20142,220759,Highly Popular,Many Reviews
Vampire Survivors,2022-10-20,RM22.46,"'Action Roguelike', 'Bullet Hell', 'Pixel Graphics', 'Rogue-lite', 'D 2', 'Indie', 'Vampire', 'Singleplayer', 'Casual', 'Arcade', 'Action', 'RPG', 'Controller', 'Retro', 'Rogue-like', 'Score Attack', 'Action RPG', 'Dark Fantasy', 'Local Co-Op', 's 1980'", 'Casual'  'Indie'  'RPG' 'Action',6299,219049,Highly Popular,Many Reviews
VRChat,2017-02-01,Free,"'VR', 'Free to Play', 'Multiplayer', 'Memes', 'Anime', 'Funny', 'Massively Multiplayer', 'First-Person', 'Open World', 'Early Access', 'Simulation', 'Casual', 'Adventure', 'MMORPG', 'Comedy', 'Sandbox', 'Action', 'Dating Sim', 'Survival Horror', 'Atmospheric'", 'Casual'  'Early Access'  'Free to Play'  'Massively Multiplayer'  'Simulation'  'Sports' 'Adventure',22945,217380,Highly Popular,Many Reviews
7 Days to Die,2013-12-13,RM112.46,"'Early Access', 'Survival', 'Zombies', 'Multiplayer', 'Open World', 'Open World Survival Craft', 'Voxel', 'Base-Building', 'Post-apocalyptic', 'Online Co-Op', 'Exploration', 'Building', 'Sandbox', 'Simulation', 'FPS', 'Strategy', 'Character Customization', 'Action', 'Tower Defense', 'Procedural Generation'", 'Adventure'  'Early Access'  'Indie'  'RPG'  'Simulation'  'Strategy' 'Action',52238,216446,Highly Popular,Many Reviews
Hearts of Iron IV,2016-06-06,RM67.46,"'Strategy', 'World War II', 'Grand Strategy', 'War', 'Historical', 'Military', 'Alternate History', 'Multiplayer', 'Simulation', 'Tactical', 'Real-Time with Pause', 'Singleplayer', 'RTS', 'Diplomacy', 'Sandbox', 'Co-op', 'Strategy RPG', 'Competitive', 'Open World', 'Action'", 'Strategy' 'Simulation',50615,208025,Highly Popular,Many Reviews
